run_id,quant,arm,rep,task_index,task_id,task_type,accumulated_prompt_tokens,completion_tokens,energy_j,j_per_completion_token,duration_s,avg_power_w,peak_power_w,vram_peak_mb,quality,quality_subscores,cumulative_energy_j,is_compaction,compaction_index,status,error,nvml_samples,nvml_available,session_tag
AWQ_compaction_rep3,AWQ,compaction,3,0.0,T01,FACT,3183,13,371.1937,28.55336,1.4025,266.62,398.79,24549.2,1.0,{'contains_all': 1.0},371.1937,False,0,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,1.0,T02,FACT,3233,4,189.701,47.42524,1.3025,148.26,188.79,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0}",560.8947,False,0,ok,,14,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,2.0,SONDA_A,SONDA,3284,5,195.0779,39.01557,1.3024,151.73,178.46,24549.2,1.0,{'contains_all': 1.0},755.9725,False,0,ok,,14,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,3.0,T03,CLASSIFY,3357,76,391.4711,5.15094,2.0045,195.07,298.64,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0}",1147.4436,False,0,ok,,21,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,4.0,T04,CONSTRAINT,3687,395,1128.685,2.85743,4.7069,238.6,329.36,24549.2,0.9167,{'rota': 0.9166666666666666},2276.1286,False,0,ok,,48,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,5.0,T05,DRAFT,4182,230,760.8427,3.30801,3.4054,222.23,329.35,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0, 'required_fields': 1.0}",3036.9713,False,0,ok,,35,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,6.0,T06,FACT,4450,25,274.0694,10.96277,1.6029,173.28,256.36,24549.2,1.0,{'contains_all': 1.0},3311.0406,False,0,ok,,17,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,7.0,SONDA_B,SONDA,4508,6,256.4325,42.73874,1.5037,173.96,226.38,24549.2,1.0,{'contains_all': 1.0},3567.4731,False,0,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,7.5,COMPACT_1,COMPACTION,4662,400,1227.7617,,4.9064,249.39,342.78,24549.2,,{},4795.2348,True,1,ok,,50,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,8.0,T07,SUMMARIZE,3608,139,525.5781,3.78114,2.5037,208.64,327.76,24549.2,1.0,{'contains_any': 1.0},5320.8129,False,1,ok,,26,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,9.0,SONDA_D,SONDA,3797,9,212.7159,23.6351,1.4023,154.2,217.24,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0}",5533.5287,False,1,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,10.0,FACT_M1,FACT,3847,8,219.9551,27.49439,1.4027,159.59,208.79,24549.2,1.0,{'contains_all': 1.0},5753.4838,False,1,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,11.0,SONDA_E,SONDA,3896,6,224.7136,37.45227,1.4026,162.73,203.8,24549.2,1.0,{'contains_any': 1.0},5978.1975,False,1,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,12.0,FACT_M2,FACT,3938,7,229.2081,32.74401,1.4027,166.18,206.63,24549.2,1.0,{'contains_all': 1.0},6207.4056,False,1,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,13.0,SONDA_F,SONDA,3982,4,230.1889,57.54721,1.4027,166.82,216.27,24549.2,1.0,{'contains_all': 1.0},6437.5944,False,1,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,14.0,T08,FACT,4021,13,255.9006,19.68466,1.5031,172.8,233.49,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0}",6693.495,False,1,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,15.0,SONDA_G,SONDA,4078,2,223.5821,111.79106,1.4029,162.76,219.14,24549.2,1.0,{'contains_any': 1.0},6917.0771,False,1,ok,,15,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,16.0,FACT_M3,FACT,4114,9,257.3559,28.5951,1.5032,173.61,218.04,24549.2,1.0,{'contains_all': 1.0},7174.4331,False,1,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,17.0,SONDA_H,SONDA,4159,7,250.1108,35.73012,1.503,169.81,226.94,24549.2,1.0,{'contains_any': 1.0},7424.5439,False,1,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,18.0,T09,CONSTRAINT,4353,150,609.5092,4.06339,2.7043,224.96,339.9,24549.2,1.0,{'rota': 1.0},8034.0531,False,1,ok,,28,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,19.0,SONDA_I,SONDA,4545,5,239.9063,47.98125,1.5023,162.43,240.71,24549.2,1.0,{'contains_all': 1.0},8273.9594,False,1,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,19.5,COMPACT_2,COMPACTION,4698,448,1348.2632,,5.3075,253.29,349.04,24549.2,,{},9622.2225,True,2,ok,,54,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,20.0,T10,DRAFT,3692,512,1397.1251,2.72876,5.6064,248.29,327.19,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0, 'required_fields': 1.0}",11019.3476,False,2,ok,,57,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,21.0,T11,RECALL,4253,46,337.6706,7.34066,1.8033,189.07,285.86,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0}",11357.0182,False,2,ok,,19,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,22.0,SONDA_J,SONDA,4342,5,238.7024,47.74048,1.5037,162.5,220.24,24549.2,1.0,{'contains_all': 1.0},11595.7206,False,2,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,23.0,SONDA_C,SONDA,4393,5,247.9966,49.59932,1.5029,168.41,221.02,24549.2,0.0,{'contains_any': 0.0},11843.7172,False,2,ok,,16,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,24.0,T12,FACT,4428,18,287.866,15.99256,1.6033,182.67,245.15,24549.2,1.0,{'contains_all': 1.0},12131.5832,False,2,ok,,17,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,25.0,T13,SUMMARIZE,4539,71,416.9136,5.87202,2.0031,208.43,340.61,24549.2,1.0,{'contains_any': 1.0},12548.4967,False,2,ok,,21,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,25.5,COMPACT_3,COMPACTION,4758,468,1385.6966,,5.5078,250.48,339.86,24549.2,,{},13934.1933,True,3,ok,,56,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,26.0,T14,RECALL,3673,45,306.3499,6.80778,1.7024,181.49,267.21,24549.2,1.0,{'contains_all': 1.0},14240.5432,False,3,ok,,18,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,27.0,T15,SONDA,3793,107,478.2928,4.47003,2.3036,207.18,330.98,24549.2,1.0,"{'contains_all': 1.0, 'contains_any': 1.0}",14718.836,False,3,ok,,24,True,v3
AWQ_compaction_rep3,AWQ,compaction,3,28.0,T16,RECALL,3944,42,302.6778,7.20661,1.7027,179.32,273.01,24549.2,1.0,{'contains_any': 1.0},15021.5138,False,3,ok,,18,True,v3
AWQ_compaction_rep2,AWQ,compaction,2,0.0,T01,FACT,3183,13,363.3135,27.94719,1.4033,261.28,400.58,24549.2,1.0,{'contains_all': 1.0},363.3135,False,0,ok,,15,True,v3
